Date,Open,High,Low,Close,Adj Close,Volume
2000-03-01,2.500000,2.500000,2.446666,2.450000,1.189878,879300
2000-03-02,2.533333,2.600000,2.440000,2.450000,1.189878,567900
2000-03-03,2.446666,2.500000,2.446666,2.466666,1.197973,732600
2000-03-06,null,null,null,null,null,null
2000-03-07,null,null,null,null,null,null
2000-03-08,2.533333,2.566666,2.400000,2.566666,1.246539,564300
2000-03-09,2.466666,2.466666,2.416666,2.466666,1.197973,791100
2000-03-10,2.500000,2.563333,2.476666,2.546666,1.236825,81000
2000-03-13,null,null,null,null,null,null
2000-03-14,2.450000,2.450000,2.346666,2.346666,1.139692,711900
2000-03-15,2.433333,2.433333,2.240000,2.316666,1.125123,1014300
2000-03-16,2.393333,2.393333,2.266666,2.333333,1.133217,672300
2000-03-17,2.333333,2.333333,2.266666,2.266666,1.100839,352800
2000-03-20,2.246666,2.246666,2.100000,2.163333,1.050654,305100
2000-03-21,2.166666,2.233333,2.066666,2.150000,1.044179,1593000
2000-03-22,2.163333,2.233333,2.163333,2.166666,1.052273,3384000
2000-03-23,2.183333,2.263333,2.150000,2.150000,1.044179,293400
2000-03-24,2.166666,2.230000,2.166666,2.180000,1.058749,273600
2000-03-27,2.200000,2.200000,2.076666,2.133333,1.036084,333900
2000-03-28,2.163333,2.163333,2.073333,2.073333,1.006945,323100
2000-03-29,2.083333,2.113333,2.066666,2.100000,1.019895,480600
2000-03-30,2.083333,2.113333,2.083333,2.086666,1.013420,273600
2000-03-31,2.110000,2.113333,2.086666,2.096666,1.018276,748800
2000-04-03,2.096666,2.096666,2.016666,2.023333,0.982661,777600
2000-04-04,2.033333,2.040000,1.983333,2.040000,0.990755,1247400
2000-04-05,2.050000,2.096666,1.973333,2.000000,0.971329,502200
2000-04-06,2.016666,2.016666,1.936666,1.966666,0.955140,369000
2000-04-07,1.966666,2.000000,1.916666,1.963333,0.953522,890100
2000-04-10,1.963333,1.993333,1.890000,1.900000,0.922763,495900
2000-04-11,1.983333,1.983333,1.866666,1.886666,0.916287,755100
2000-04-12,1.966666,2.000000,1.866666,1.926666,0.935713,846000
2000-04-13,1.926666,1.983333,1.866666,1.896666,0.921143,302400
2000-04-14,1.866666,1.900000,1.800000,1.833333,0.890385,595800
2000-04-17,1.876666,1.883333,1.770000,1.883333,0.914668,405900
2000-04-18,1.900000,2.000000,1.836666,1.933333,0.938951,767700
2000-04-19,1.983333,1.996666,1.836666,1.843333,0.895241,309600
2000-04-20,1.900000,1.900000,1.850000,1.866666,0.906573,258300
2000-04-21,null,null,null,null,null,null
2000-04-24,1.880000,1.930000,1.866666,1.866666,0.906573,328500
2000-04-25,1.933333,1.966666,1.870000,1.873333,0.909812,279900
2000-04-26,1.916666,1.916666,1.846666,1.900000,0.922763,439200
2000-04-27,1.833333,1.916666,1.833333,1.900000,0.922763,1332900
2000-04-28,1.946666,2.046666,1.883333,2.000000,0.971329,460800
2000-05-01,null,null,null,null,null,null
2000-05-02,2.096666,2.130000,2.000000,2.063333,1.002088,914400
2000-05-03,2.033333,2.100000,1.983333,2.050000,0.995612,220500
2000-05-04,2.083333,2.083333,2.000000,2.016666,0.979423,137700
2000-05-05,2.000000,2.000000,1.973333,1.980000,0.961616,211500
2000-05-08,2.000000,2.000000,1.950000,1.953333,0.948664,243900
2000-05-09,1.936666,2.000000,1.933333,1.950000,0.947046,243000
2000-05-10,1.950000,1.956666,1.906666,1.913333,0.929238,350100
2000-05-11,1.996666,1.996666,1.906666,1.933333,0.938951,369000
2000-05-12,1.966666,1.966666,1.866666,1.950000,0.947046,401400
2000-05-15,1.963333,1.996666,1.883333,1.986666,0.964853,132300
2000-05-16,1.980000,2.033333,1.966666,1.986666,0.964853,414000
2000-05-17,1.966666,2.030000,1.960000,2.016666,0.979423,280800
2000-05-18,1.983333,2.033333,1.936666,1.956666,0.950283,134100
2000-05-19,1.966666,1.996666,1.936666,1.996666,0.969710,93600
2000-05-22,1.966666,1.966666,1.900000,1.953333,0.948664,1172700
2000-05-23,1.996666,1.996666,1.870000,1.870000,0.908193,234900
2000-05-24,1.866666,1.933333,1.840000,1.930000,0.937332,202500
