Date,Open,High,Low,Close,Adj Close,Volume
2018-05-03,74.910004,75.949997,74.760002,75.699997,72.587273,113200
2018-05-04,74.889999,74.889999,67.410004,71.139999,68.214790,542200
2018-05-07,71.150002,72.959999,71.150002,72.699997,69.710632,353400
2018-05-08,73.000000,74.500000,72.800003,74.099998,71.053070,300400
2018-05-09,74.470001,74.489998,74.000000,74.000000,70.957184,47800
2018-05-10,74.019997,74.449997,68.989998,74.449997,71.388680,185500
2018-05-11,3.087116,3.090409,2.980096,3.029490,2.904921,3413379
2018-05-14,3.052541,3.070652,2.963632,3.037722,2.912814,3061716
2018-05-15,3.029490,3.062419,2.980096,3.009733,2.885976,2555175
2018-05-16,3.014672,3.044308,3.013025,3.029490,2.904921,782283
2018-05-17,3.029490,3.032783,3.013025,3.027844,2.903342,415436
2018-05-18,3.029490,3.044308,2.963632,3.037722,2.912814,1378713
2018-05-21,3.036076,3.036076,2.963632,2.980096,2.857557,15979716
2018-05-22,3.013025,3.062419,3.006440,3.045955,2.920708,4718601
2018-05-23,3.045955,3.128278,3.014672,3.123338,2.994909,1447953
2018-05-24,3.124985,3.128278,3.032783,3.032783,2.908078,2532095
2018-05-25,3.045955,3.078884,2.938935,3.029490,2.904921,2303119
2018-05-28,3.029490,3.059126,2.930702,2.971864,2.849663,2470752
2018-05-29,2.983389,3.037722,2.960339,3.021258,2.897027,2321340
2018-05-30,3.021258,3.042662,2.881308,2.881308,2.762831,1010044
2018-06-01,2.897773,2.996561,2.683733,2.831915,2.715469,1451597
2018-06-04,2.858258,2.930702,2.802278,2.840147,2.723362,1722481
2018-06-05,2.846733,2.896127,2.652450,2.682087,2.571802,5191130
2018-06-06,2.688672,2.749591,2.552016,2.568481,2.462867,561810
2018-06-07,2.552016,2.552016,2.249067,2.387370,2.289204,1340449
2018-06-08,2.440057,2.532258,2.370905,2.453228,2.352353,782890
2018-06-11,2.525673,2.634339,2.453228,2.552016,2.447079,917725
2018-06-12,2.581652,2.682087,2.573420,2.634339,2.526017,682068
2018-06-13,2.634339,2.678794,2.481218,2.584945,2.478654,606755
2018-06-14,2.552016,2.635986,2.552016,2.560248,2.454973,509577
2018-06-15,2.586592,2.603056,2.502622,2.519087,2.415504,2133058
2018-06-18,2.507562,2.547077,2.469693,2.469693,2.368141,267239
2018-06-19,2.469693,2.477925,2.410420,2.435117,2.334987,1545738
2018-06-20,2.469693,2.477925,2.359380,2.359380,2.262364,865492
2018-06-21,2.387370,2.387370,2.293521,2.293521,2.199213,361380
2018-06-22,2.298461,2.346208,2.273764,2.305047,2.210266,329798
2018-06-25,2.323158,2.354441,2.305047,2.311633,2.216581,982713
2018-06-26,2.336329,2.337976,2.295168,2.329744,2.233947,843626
2018-06-27,2.329744,2.346208,2.280350,2.280350,2.186584,513221
2018-06-28,2.305047,2.382430,2.272117,2.329744,2.233947,996682
2018-06-29,2.329744,2.379137,2.308340,2.379137,2.281309,1266351
2018-07-02,2.385890,2.385890,2.258928,2.258928,2.184009,1337899
2018-07-03,2.272119,2.305096,2.229249,2.229249,2.155314,804801
2018-07-04,2.252333,2.277065,2.242439,2.277065,2.201544,202565
2018-07-05,2.277065,2.356210,2.277065,2.310042,2.233428,8357325
2018-07-06,2.300149,2.356210,2.255630,2.263875,2.188792,3203439
2018-07-10,2.275417,2.324882,2.265523,2.265523,2.190386,1182033
2018-07-11,2.275417,2.341371,2.265523,2.300149,2.223863,705945
2018-07-12,2.306745,2.380943,2.300149,2.341371,2.263717,906690
